var                                                                    | dimension    |             min |             max |         average
lon                                                                    | (24, 48)     |               0 |           352.5 |          176.25
lat                                                                    | (24, 48)     |        -84.3765 |         84.3765 |               0
air_pressure                                                           | (70, 24, 48) |        0.480857 |          103741 |         39016.4
air_temperature                                                        | (70, 24, 48) |         170.233 |         305.938 |         243.542
cfeff                                                                  | (70, 24, 48) |               0 |        0.435396 |       0.0203899
cleff                                                                  | (70, 24, 48) |               0 |        0.569218 |      0.00490327
dlsvpdT                                                                | (70, 24, 48) |       0.0561912 |        0.182457 |        0.106076
dimensionless_exner_function                                           | (70, 24, 48) |        0.030273 |         1.01054 |        0.642085
height_above_mean_sea_level                                            | (70, 24, 48) |         19.9888 |           80000 |           15692
ice_cloud_volume_fraction_in_atmosphere_layer                          | (70, 24, 48) |               0 |        0.995598 |       0.0761315
liquid_cloud_volume_fraction_in_atmosphere_layer                       | (70, 24, 48) |               0 |               1 |       0.0143996
mu                                                                     | (70, 24, 48) |               0 |               0 |               0
muA                                                                    | (70, 24, 48) |               0 |               0 |               0
muH1                                                                   | (70, 24, 48) |               0 |               0 |               0
muRecipDeterminant                                                     | (70, 24, 48) |               0 |               0 |               0
muRow1Column1                                                          | (70, 24, 48) |               0 |               0 |               0
muRow1Column2                                                          | (70, 24, 48) |               0 |               0 |               0
muRow2Column1                                                          | (70, 24, 48) |               0 |               0 |               0
muRow2Column2                                                          | (70, 24, 48) |               0 |               0 |               0
air_potential_temperature                                              | (70, 24, 48) |         239.698 |         6233.32 |         687.492
qrain                                                                  | (70, 24, 48) |               0 |     0.000359638 |     3.66018e-07
qsat                                                                   | (70, 24, 48) |      1.8261e-06 |         1.00001 |       0.0794629
qt                                                                     | (70, 24, 48) |               0 |               0 |               0
rht                                                                    | (70, 24, 48) |     3.79319e-07 |         6.11645 |        0.405399
water_vapor_mixing_ratio_wrt_moist_air_and_condensed_water             | (70, 24, 48) |     3.36065e-07 |       0.0192114 |      0.00169906
svp                                                                    | (70, 24, 48) |      0.00966483 |         4975.92 |          367.89
virtual_potential_temperature                                          | (70, 24, 48) |         239.735 |         6233.32 |         687.801
air_pressure_levels_minus_one                                          | (70, 24, 48) |          1.1725 |          103868 |         39697.4
dry_air_density_levels_minus_one                                       | (70, 24, 48) |     2.02315e-05 |         1.48085 |         0.52955
eastward_wind                                                          | (70, 24, 48) |        -65.1434 |         79.9573 |         5.60257
dimensionless_exner_function_levels_minus_one                          | (70, 24, 48) |       0.0390496 |         1.01089 |        0.648731
geostrophic_pressure_levels_minus_one                                  | (70, 24, 48) |               0 |               0 |               0
northward_wind                                                         | (70, 24, 48) |        -77.8201 |         72.3495 |       -0.127093
unbalanced_pressure_levels_minus_one                                   | (70, 24, 48) |               0 |               0 |               0
air_pressure_levels                                                    | (71, 24, 48) |       0.0977936 |          103868 |         39138.3
height_above_mean_sea_level_levels                                     | (71, 24, 48) |         9.98877 |         87866.6 |         16147.7
hydrostatic_exner_levels                                               | (71, 24, 48) |        0.018656 |          1.0109 |        0.639725
hydrostatic_pressure_levels                                            | (71, 24, 48) |       0.0887843 |          103868 |         39135.1
cloud_ice_mixing_ratio_wrt_moist_air_and_condensed_water               | (70, 24, 48) |               0 |     0.000207873 |     2.94911e-06
cloud_liquid_water_mixing_ratio_wrt_moist_air_and_condensed_water      | (70, 24, 48) |               0 |     0.000762684 |     2.66866e-06
water_vapor_mixing_ratio_wrt_dry_air                                   | (70, 24, 48) |     3.36065e-07 |        0.019589 |      0.00171541
cloud_ice_mixing_ratio_wrt_dry_air                                     | (70, 24, 48) |               0 |     0.000208524 |     2.95492e-06
cloud_liquid_water_mixing_ratio_wrt_dry_air                            | (70, 24, 48) |               0 |      0.00077011 |     2.68385e-06
rain_mixing_ratio_wrt_dry_air                                          | (70, 24, 48) |               0 |     0.000361235 |     3.68506e-07
total_water_mixing_ratio_wrt_dry_air                                   | (70, 24, 48) |               1 |         1.01959 |         1.00172
