var                                                                    | dimension |             min |             max |         average
lon                                                                    | (64)      |               0 |         354.375 |         177.188
lat                                                                    | (32)      |             -90 |              90 |     2.86102e-06
lev                                                                    | (127)     |         0.01305 |         982.784 |         405.482
ps                                                                     | (32)      |       0.0284673 |       0.0448821 |       0.0335993
hps                                                                    | (32)      |         99486.5 |          150917 |          120331
sf                                                                     | (127, 32) |          181683 |     1.12938e+06 |          428611
hsf                                                                    | (127, 32) |          209923 |     2.07031e+06 |          452109
vsf                                                                    | (127, 32) |       0.0623578 |         1.20359 |        0.370319
vp                                                                     | (127, 32) |          137059 |     1.85634e+06 |          392336
hvp                                                                    | (127, 32) |          197986 |     1.22264e+06 |          366939
vvp                                                                    | (127, 32) |       0.0763485 |         1.25547 |        0.509001
t                                                                      | (127, 32) |        0.102206 |        0.687249 |        0.333685
ht                                                                     | (127, 32) |         64843.7 |          527618 |          111295
vt                                                                     | (127, 32) |        0.110544 |         1.59387 |        0.728174
q                                                                      | (127, 32) |       6.454e-06 |         0.16832 |       0.0469848
hq                                                                     | (127, 32) |         36123.8 |          188555 |         76819.4
vq                                                                     | (127, 32) |       0.0955839 |         1.98211 |        0.514853
qi                                                                     | (127, 32) |               0 |               0 |               0
hqi                                                                    | (127, 32) |               0 |               0 |               0
vqi                                                                    | (127, 32) |               0 |               0 |               0
ql                                                                     | (127, 32) |               0 |               0 |               0
hql                                                                    | (127, 32) |               0 |               0 |               0
vql                                                                    | (127, 32) |               0 |               0 |               0
qr                                                                     | (127, 32) |               0 |               0 |               0
hqr                                                                    | (127, 32) |               0 |               0 |               0
vqr                                                                    | (127, 32) |               0 |               0 |               0
qs                                                                     | (127, 32) |               0 |               0 |               0
hqs                                                                    | (127, 32) |               0 |               0 |               0
vqs                                                                    | (127, 32) |               0 |               0 |               0
oz                                                                     | (127, 32) |      3.8603e-10 |     1.36698e-07 |     2.08745e-08
hoz                                                                    | (127, 32) |         62556.2 |          341402 |         97841.4
voz                                                                    | (127, 32) |       0.0562606 |             5.3 |        0.870208
cw                                                                     | (127, 32) |               0 |     9.22196e-05 |     1.29139e-05
hcw                                                                    | (127, 32) |            2500 |         77203.8 |         44008.9
vcw                                                                    | (127, 32) |        0.113241 |         5.27001 |         1.74068
pscon                                                                  | (127, 32) |    -1.36873e-07 |     1.28778e-07 |     4.74082e-11
vpcon                                                                  | (127, 32) |       -0.327935 |        0.272658 |     -0.00823624
nrh                                                                    | (127, 32) |    -2.42407e-09 |         0.18786 |      0.00345871
tcon0001                                                               | (127, 32) |    -5.15854e-08 |      2.8134e-08 |     -7.2637e-10
tcon0002                                                               | (127, 32) |    -5.52574e-08 |     2.98855e-08 |    -7.84763e-10
tcon0003                                                               | (127, 32) |    -6.13075e-08 |     3.27402e-08 |    -8.82964e-10
tcon0004                                                               | (127, 32) |    -6.51816e-08 |     3.44904e-08 |    -9.52579e-10
tcon0005                                                               | (127, 32) |    -6.77055e-08 |     3.55997e-08 |    -1.00666e-09
