var                                                                    | dimension |             min |             max |         average
lon                                                                    | (72)      |               0 |             355 |           177.5
lat                                                                    | (46)      |             -90 |              90 |               0
lev                                                                    | (72)      |           0.015 |          976.62 |         301.998
ps                                                                     | (46)      |               1 |               1 |               1
hps                                                                    | (46)      |          115133 |          169068 |          139818
sf                                                                     | (72, 46)  |               1 |               1 |               1
hsf                                                                    | (72, 46)  |          236490 |     1.17281e+06 |          563229
vsf                                                                    | (72, 46)  |       0.0898914 |         1.60492 |        0.441908
vp                                                                     | (72, 46)  |               1 |               1 |               1
hvp                                                                    | (72, 46)  |          229042 |     1.02033e+06 |          543500
vvp                                                                    | (72, 46)  |        0.172847 |         1.69349 |        0.839645
t                                                                      | (72, 46)  |               1 |               1 |               1
ht                                                                     | (72, 46)  |         84719.6 |          342715 |          164483
vt                                                                     | (72, 46)  |        0.321974 |         3.87401 |         1.27239
q                                                                      | (72, 46)  |               1 |               1 |               1
hq                                                                     | (72, 46)  |         76338.4 |          278175 |          139559
vq                                                                     | (72, 46)  |        0.302287 |          5.0501 |         1.74654
qi                                                                     | (72, 46)  |               1 |               1 |               1
hqi                                                                    | (72, 46)  |         84262.3 |          499969 |          321046
vqi                                                                    | (72, 46)  |         2.70509 |         5.19986 |         4.68492
ql                                                                     | (72, 46)  |               1 |               1 |               1
hql                                                                    | (72, 46)  |         83899.2 |          499984 |          318045
vql                                                                    | (72, 46)  |          1.6471 |         5.04761 |         4.14218
qr                                                                     | (72, 46)  |               1 |               1 |               1
hqr                                                                    | (72, 46)  |         81987.1 |          499973 |          312988
vqr                                                                    | (72, 46)  |         0.25599 |         5.08622 |         4.18559
qs                                                                     | (72, 46)  |               1 |               1 |               1
hqs                                                                    | (72, 46)  |         83899.2 |          499984 |          318045
vqs                                                                    | (72, 46)  |         1.10101 |         5.21011 |         4.13757
oz                                                                     | (72, 46)  |               1 |               1 |               1
hoz                                                                    | (72, 46)  |         80907.7 |          244724 |          148191
voz                                                                    | (72, 46)  |        0.163588 |         5.47839 |         1.23037
cw                                                                     | (72, 46)  |               1 |               1 |               1
hcw                                                                    | (72, 46)  |          100000 |          100000 |          100000
vcw                                                                    | (72, 46)  |             0.5 |             0.5 |             0.5
pscon                                                                  | (72, 46)  |    -1.53231e-08 |     1.61161e-08 |     3.70716e-11
vpcon                                                                  | (72, 46)  |       -0.372631 |        0.353345 |     0.000849488
nrh                                                                    | (72, 46)  |               0 |               1 |      0.00672945
tcon0001                                                               | (72, 46)  |    -9.01109e-08 |     7.08287e-08 |    -1.33901e-10
tcon0002                                                               | (72, 46)  |    -1.16972e-07 |     8.41573e-08 |    -3.23268e-10
tcon0003                                                               | (72, 46)  |    -1.26384e-07 |      9.1538e-08 |    -3.78522e-10
tcon0004                                                               | (72, 46)  |    -1.24876e-07 |     9.42693e-08 |    -3.23943e-10
tcon0005                                                               | (72, 46)  |    -1.20249e-07 |     9.37333e-08 |    -2.85394e-10
tcon0006                                                               | (72, 46)  |    -1.12022e-07 |     9.07188e-08 |    -2.40974e-10
tcon0007                                                               | (72, 46)  |    -1.00637e-07 |     8.55484e-08 |    -1.65949e-10
tcon0008                                                               | (72, 46)  |    -8.68085e-08 |     7.88671e-08 |    -6.54127e-11
tcon0009                                                               | (72, 46)  |    -7.28414e-08 |     7.05626e-08 |    -2.16795e-12
tcon0010                                                               | (72, 46)  |    -5.87487e-08 |      6.1472e-08 |     5.01127e-11
tcon0011                                                               | (72, 46)  |    -4.83724e-08 |     5.22904e-08 |     1.24816e-10
tcon0012                                                               | (72, 46)  |    -4.18333e-08 |     4.40442e-08 |     2.12875e-10
tcon0013                                                               | (72, 46)  |    -3.77097e-08 |     3.60264e-08 |     3.31454e-10
tcon0014                                                               | (72, 46)  |    -4.43881e-08 |     4.53363e-08 |      4.4045e-10
tcon0015                                                               | (72, 46)  |    -5.10575e-08 |     7.16654e-08 |     4.82977e-10
tcon0016                                                               | (72, 46)  |    -5.71036e-08 |     9.62369e-08 |       5.068e-10
