var                                                                    | dimension    |             min |             max |         average
air_density_levels_minus_one                                           | (70, 24, 48) |     2.14317e-05 |         1.44592 |        0.527938
air_potential_temperature                                              | (70, 24, 48) |         237.958 |         5724.65 |         687.427
air_pressure                                                           | (70, 24, 48) |         0.62261 |          103495 |         38980.1
air_pressure_levels                                                    | (71, 24, 48) |        0.262285 |          103619 |         39101.2
air_pressure_levels_minus_one                                          | (70, 24, 48) |         1.20022 |          103619 |         39659.8
air_temperature                                                        | (70, 24, 48) |         180.609 |         307.157 |         243.612
cfeff                                                                  | (70, 24, 48) |               0 |        0.438837 |       0.0133401
cleff                                                                  | (70, 24, 48) |               0 |        0.582859 |      0.00223027
cloud_ice_mixing_ratio_wrt_dry_air                                     | (70, 24, 48) |               0 |     0.000182534 |     2.66695e-06
cloud_ice_mixing_ratio_wrt_moist_air_and_condensed_water               | (70, 24, 48) |               0 |     0.000181789 |     2.66311e-06
cloud_liquid_water_mixing_ratio_wrt_dry_air                            | (70, 24, 48) |               0 |     0.000346569 |     2.11817e-06
cloud_liquid_water_mixing_ratio_wrt_moist_air_and_condensed_water      | (70, 24, 48) |               0 |     0.000341883 |     2.10695e-06
dimensionless_exner_function                                           | (70, 24, 48) |       0.0325917 |         1.00986 |        0.641861
dimensionless_exner_function_levels_minus_one                          | (70, 24, 48) |       0.0393123 |          1.0102 |        0.648473
dlsvpdT                                                                | (70, 24, 48) |       0.0557384 |        0.182457 |        0.105957
dry_air_density_levels_minus_one                                       | (70, 24, 48) |     2.14317e-05 |          1.4456 |         0.52605
eastward_wind                                                          | (70, 24, 48) |        -51.6265 |         80.5997 |         8.11226
geopotential                                                           | (70, 24, 48) |           196.2 |          784800 |          153939
height_above_mean_sea_level                                            | (70, 24, 48) |              20 |           80000 |         15692.1
height_above_mean_sea_level_levels                                     | (71, 24, 48) |              10 |         83933.3 |         16092.2
hydrostatic_exner_levels                                               | (71, 24, 48) |       0.0250075 |         1.01021 |        0.639628
hydrostatic_pressure_levels                                            | (71, 24, 48) |        0.247551 |          103619 |         39102.9
ice_cloud_volume_fraction_in_atmosphere_layer                          | (70, 24, 48) |               0 |        0.991455 |        0.082973
landmask                                                               | (1, 24, 48)  |               0 |               1 |         0.33154
lat                                                                    | (24, 48)     |        -84.3765 |         84.3765 |               0
liquid_cloud_volume_fraction_in_atmosphere_layer                       | (70, 24, 48) |               0 |        0.999893 |       0.0123981
lon                                                                    | (24, 48)     |               0 |           352.5 |          176.25
northward_wind                                                         | (70, 24, 48) |        -39.0332 |          43.521 |       -0.110097
qrain                                                                  | (70, 24, 48) |               0 |     0.000149959 |     3.06003e-07
qsat                                                                   | (70, 24, 48) |     1.11866e-06 |               1 |       0.0812383
qt                                                                     | (70, 24, 48) |     4.80058e-07 |       0.0191403 |      0.00175957
rain_mixing_ratio_wrt_dry_air                                          | (70, 24, 48) |               0 |     0.000150663 |     3.07997e-07
relative_humidity                                                      | (70, 24, 48) |     6.40511e-07 |         2.36895 |        0.388308
relative_humidity_at_2m                                                | (1, 24, 48)  |        0.107232 |         2.34458 |         0.85367
relative_humidity_at_2m_percentage                                     | (1, 24, 48)  |         10.7232 |         234.458 |          85.367
rht                                                                    | (70, 24, 48) |     6.40511e-07 |         5.96257 |        0.396416
sea_surface_temperature                                                | (1, 24, 48)  |             280 |             280 |             280
seaice_fraction                                                        | (1, 24, 48)  |               0 |        0.999414 |       0.0855852
geopotential_at_surface                                                | (1, 24, 48)  |            98.1 |         28625.7 |         3422.37
surface_snow_thickness                                                 | (1, 24, 48)  |               0 |         1.99946 |         0.21405
svp                                                                    | (70, 24, 48) |      0.00966483 |         5321.83 |         375.657
total_water_mixing_ratio_wrt_dry_air                                   | (70, 24, 48) |     4.80058e-07 |       0.0195138 |      0.00177648
total_water_mixing_ratio_wrt_moist_air_and_condensed_water             | (70, 24, 48) |     4.80058e-07 |       0.0191403 |      0.00175988
virtual_potential_temperature                                          | (70, 24, 48) |         237.979 |         5724.65 |         687.747
water_vapor_mixing_ratio_wrt_dry_air                                   | (70, 24, 48) |     4.80058e-07 |       0.0195138 |      0.00177138
water_vapor_mixing_ratio_wrt_moist_air_and_condensed_water             | (70, 24, 48) |     4.80058e-07 |       0.0191403 |       0.0017548
water_vapor_mixing_ratio_wrt_moist_air_and_condensed_water_at_2m       | (1, 24, 48)  |     3.67157e-05 |       0.0191403 |      0.00717549
land_area_fraction                                                     | (1, 24, 48)  |               0 |               1 |        0.125584
