variable                                                               | dimension    |             min |             max |         average
air_potential_temperature                                              | (70, 24, 48) |         239.698 |         6233.32 |         687.492
air_pressure                                                           | (70, 24, 48) |        0.480857 |          103741 |         39016.4
air_pressure_levels                                                    | (71, 24, 48) |        0.282197 |          103868 |         39138.3
air_pressure_levels_minus_one                                          | (70, 24, 48) |          1.1725 |          103868 |         39697.4
air_temperature                                                        | (70, 24, 48) |         170.222 |         305.939 |         243.544
cfeff                                                                  | (70, 24, 48) |               0 |        0.435396 |       0.0204453
cleff                                                                  | (70, 24, 48) |               0 |        0.569218 |       0.0048606
cloud_ice_mixing_ratio_wrt_dry_air                                     | (70, 24, 48) |               0 |     0.000208524 |     2.95492e-06
cloud_ice_mixing_ratio_wrt_moist_air_and_condensed_water               | (70, 24, 48) |               0 |     0.000207924 |     2.94981e-06
cloud_liquid_water_mixing_ratio_wrt_dry_air                            | (70, 24, 48) |               0 |      0.00077011 |     2.68385e-06
cloud_liquid_water_mixing_ratio_wrt_moist_air_and_condensed_water      | (70, 24, 48) |               0 |     0.000762921 |     2.67005e-06
dimensionless_exner_function                                           | (70, 24, 48) |        0.030273 |         1.01054 |        0.642085
dimensionless_exner_function_levels_minus_one                          | (70, 24, 48) |       0.0390496 |         1.01089 |        0.648731
dlsvpdT                                                                | (70, 24, 48) |       0.0561502 |        0.182457 |        0.106061
dry_air_density                                                        | (70, 24, 48) |               1 |               1 |               1
dry_air_density_levels_minus_one                                       | (70, 24, 48) |               1 |               1 |               1
eastward_wind                                                          | (70, 24, 48) |        -65.1434 |         79.9573 |         5.60257
geostrophic_pressure_levels_minus_one                                  | (70, 24, 48) |               0 |               0 |               0
height_above_mean_sea_level                                            | (70, 24, 48) |         19.9888 |           80000 |           15692
height_above_mean_sea_level_levels                                     | (71, 24, 48) |         9.98877 |         83933.3 |         16092.3
hydrostatic_exner_levels                                               | (71, 24, 48) |       0.0254087 |          1.0109 |        0.639893
hydrostatic_pressure_levels                                            | (71, 24, 48) |         0.26173 |          103868 |         39139.7
ice_cloud_volume_fraction_in_atmosphere_layer                          | (70, 24, 48) |               0 |        0.995598 |       0.0761315
lat                                                                    | (24, 48)     |        -84.3765 |         84.3765 |               0
liquid_cloud_volume_fraction_in_atmosphere_layer                       | (70, 24, 48) |               0 |               1 |       0.0143996
lon                                                                    | (24, 48)     |               0 |           352.5 |          176.25
mass_density_of_particulate_matter_2p5_in_air                          | (70, 24, 48) |             0.3 |             0.3 |             0.3
mixing_ratio_of_dust_wrt_dry_air                                       | (70, 24, 48) |             0.2 |             0.2 |             0.2
mixing_ratio_of_smoke_wrt_dry_air                                      | (70, 24, 48) |             0.1 |             0.1 |             0.1
mu                                                                     | (70, 24, 48) |               0 |               0 |               0
muA                                                                    | (70, 24, 48) |               0 |               0 |               0
muH1                                                                   | (70, 24, 48) |               0 |               0 |               0
muRecipDeterminant                                                     | (70, 24, 48) |               0 |               0 |               0
muRow1Column1                                                          | (70, 24, 48) |               0 |               0 |               0
muRow1Column2                                                          | (70, 24, 48) |               0 |               0 |               0
muRow2Column1                                                          | (70, 24, 48) |               0 |               0 |               0
muRow2Column2                                                          | (70, 24, 48) |               0 |               0 |               0
northward_wind                                                         | (70, 24, 48) |        -77.8201 |         72.3495 |       -0.127093
ori_dry_air_density_levels_minus_one                                   | (70, 24, 48) |      2.0256e-05 |         1.48084 |        0.529535
qrain                                                                  | (70, 24, 48) |               0 |     0.000359626 |     3.66216e-07
qsat                                                                   | (70, 24, 48) |     1.82545e-06 |               1 |       0.0795178
qt                                                                     | (70, 24, 48) |     3.36065e-07 |       0.0192126 |      0.00170507
rain_mixing_ratio_wrt_dry_air                                          | (70, 24, 48) |               0 |     0.000361235 |     3.68506e-07
relative_humidity                                                      | (70, 24, 48) |     3.45457e-05 |         277.613 |         40.3882
relative_humidity_at_2m                                                | (1, 24, 48)  |         4.57032 |         277.613 |         86.9897
rht                                                                    | (70, 24, 48) |     3.45457e-05 |         533.679 |         41.1783
water_vapor_mixing_ratio_wrt_moist_air_and_condensed_water             | (70, 24, 48) |     3.36065e-07 |       0.0192126 |      0.00169945
water_vapor_mixing_ratio_wrt_moist_air_and_condensed_water_at_2m       | (1, 24, 48)  |     4.90911e-05 |       0.0192126 |      0.00698565
svp                                                                    | (70, 24, 48) |      0.00966483 |         4971.08 |         364.248
total_water_mixing_ratio_wrt_dry_air                                   | (70, 24, 48) |               1 |         1.01959 |         1.00172
unbalanced_pressure_levels_minus_one                                   | (70, 24, 48) |               0 |               0 |               0
virtual_potential_temperature                                          | (70, 24, 48) |         239.735 |         6233.32 |         687.801
water_vapor_mixing_ratio_wrt_dry_air                                   | (70, 24, 48) |     3.36065e-07 |        0.019589 |      0.00171541
